"","instance_id","artist_name","track_name","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","obtained_date","valence","music_genre"
"13062",86095,"Giovanni Mirabassi","Howl's Moving Castle",34,0.824,0.393,-1,0.305,0.873,"G",0.103,-16.349,"Minor",0.0392,"175.628","3-Apr",0.369,"Jazz"
"13081",55748,"empty_field","C'est si bon",46,0.929,0.392,172533,0.192,0,"E",0.268,-15.225,"Minor",0.0703,"179.13400000000001","3-Apr",0.33,"Jazz"
"13092",85830,"Diana Krall","So Nice",35,0.645,0.694,230707,0.269,0.00015,"A",0.378,-15.812,"Minor",0.0654,"110.62799999999999","4-Apr",0.421,"Jazz"
"13094",30545,"Earth, Wind & Fire","Happy Feelin'",34,0.062,0.643,198133,0.729,0.494,"A",0.0457,-10.172,"Major",0.0461,"130.308","4-Apr",0.846,"Jazz"
"13112",56890,"Tord Gustavsen Trio","Curves",63,0.963,0.515,379533,0.0283,0.927,"A",0.0906,-28.954,"Major",0.0402,"100.598","4-Apr",0.0886,"Jazz"
"13113",67616,"Robohands","Green",38,0.155,0.558,228589,0.434,0.64,"E",0.137,-14.162,"Minor",0.0297,"97.476","4-Apr",0.166,"Jazz"
"13139",27487,"Cymande","Genevieve",39,0.108,0.588,196800,0.404,0.0165,"F",0.0543,-8.609,"Minor",0.165,"175.894","4-Apr",0.775,"Jazz"
"13153",30373,"Joshua Redman","As This Moment Slips Away",45,0.785,0.533,412613,0.429,0.799,"F",0.0982,-10.413,"Minor",0.0323,"91.473","4-Apr",0.543,"Jazz"
"13154",81708,"Medeski, Martin & Wood","The Lover",38,0.479,0.571,379560,0.45,0.915,"B",0.368,-16.724,"Major",0.0565,"104.63600000000001","4-Apr",0.588,"Jazz"
"13166",90233,"Between The Buried And Me","Lay Your Ghosts to Rest",33,0.000502,0.276,-1,0.977,0.0006389999999999,"F#",0.362,-3.503,"Minor",0.152,"103.13799999999999","4-Apr",0.242,"Jazz"
"13183",42219,"Nujabes","Spiral",49,0.272,0.673,220867,0.509,0.785,"C#",0.129,-7.904,"Minor",0.0365,"82.02","4-Apr",0.791,"Jazz"
"13206",82862,"Maynard Ferguson","Chameleon",37,0.357,0.596,275267,0.442,0.712,"G#",0.0485,-10.203,"Major",0.0429,"95.085","4-Apr",0.896,"Jazz"
"13225",55095,"Typical Cats","Any Day",36,0.198,0.76,233053,0.635,0,"D#",0.0975,-9.58,"Major",0.367,"90.992","4-Apr",0.684,"Jazz"
"13232",60316,"Nightmares On Wax","Les Nuits",54,0.245,0.556,380627,0.291,0.881,"G#",0.247,-14.709,"Major",0.0311,"94.635","4-Apr",0.0387,"Jazz"
"13244",41360,"Mammal Hands","Wringer",42,0.95,0.255,192385,0.289,0.901,"F#",0.0945,-13.941,"Major",0.0382,"174.143","3-Apr",0.116,"Jazz"
"13253",53672,"Gramatik","Torture (feat. Eric Krasno)",41,0.000179,0.683,222550,0.743,0.436,"D",0.0763,-4.941,"Major",0.0341,"95.99799999999999","4-Apr",0.567,"Jazz"
"13272",60100,"Alfa Mist","Resolve",42,0.0436,0.505,387918,0.57,0.809,"D",0.108,-11.643,"Major",0.045,"141.735","4-Apr",0.183,"Jazz"
"13277",57942,"Yppah","Coastal Cities",38,0.00203,0.555,343350,0.763,0.881,"G#",0.0847,-7.638,"Major",0.0332,"91.99700000000001","4-Apr",0.376,"Jazz"
"13283",53821,"Terrace Martin","Valdez Off Crenshaw",38,0.163,0.487,271080,0.627,0.806,"A#",0.138,-8.81,"Minor",0.0376,"149.727","4-Apr",0.702,"Jazz"
"13291",61826,"Pete Escovedo","Te Vas",38,0.216,0.739,341067,0.505,0.809,"F#",0.0422,-11.467,"Major",0.048,"117.77600000000001","4-Apr",0.937,"Jazz"
"13304",25823,"Louis Armstrong","A Kiss To Build A Dream On",36,0.844,0.735,184493,0.122,0,"C",0.107,-11.4,"Major",0.0636,"87.925","4-Apr",0.367,"Jazz"
"13307",90499,"empty_field","Ancestry",60,0.285,0.563,130180,0.443,0.84,"D",0.122,-11.072,"Minor",0.453,"75.459","4-Apr",0.247,"Jazz"
"13324",65903,"Kirk Whalum","Do You Feel Me",28,0.142,0.631,294240,0.378,0.565,"G",0.0848,-11.313,"Major",0.114,"113.916","4-Apr",0.597,"Jazz"
"13330",87318,"TesseracT","Dystopia",43,0.00504,0.44,411305,0.628,0.0942,"D",0.119,-9.48,"Major",0.038,"119.148","4-Apr",0.101,"Jazz"
"13345",49426,"Benny Goodman","Stompin At The Savoy",49,0.836,0.525,195533,0.222,0.0799,"A#",0.051,-11.065,"Minor",0.0373,"156.364","4-Apr",0.645,"Jazz"
"13360",65938,"The Rippingtons","Black Book",29,0.00581,0.788,238080,0.743,0.703,"A#",0.0696,-7.834,"Minor",0.0321,"109.991","4-Apr",0.807,"Jazz"
"13366",46280,"Jamiroquai","Morning Glory - Remastered",46,0.71,0.623,383973,0.328,0.344,"G#",0.105,-12.949,"Minor",0.0382,"74.668","4-Apr",0.696,"Jazz"
"13367",52086,"Herring Franky","Turn Me On",57,0.435,0.933,102060,0.106,0.955,"B",0.126,-15.708,"Minor",0.175,"94.01100000000001","4-Apr",0.846,"Jazz"
"13379",57961,"Celia Cruz","Canto A La Habana",39,0.733,0.597,331467,0.661,0.000202,"C",0.284,-8.021,"Major",0.0407,"107.38600000000001","4-Apr",0.865,"Jazz"
"13408",57708,"Willie Colón","Sin Poderte Hablar",44,0.14,0.389,324333,0.656,0,"F",0.55,-6.845,"Minor",0.0509,"102.303","4-Apr",0.581,"Jazz"
"13423",56426,"Tito Nieves","Cuando Te Miro",56,0.323,0.726,231307,0.771,0,"F",0.149,-4.911,"Major",0.0382,"89.98299999999999","4-Apr",0.796,"Jazz"
"13428",29318,"Ajmw","Nights In West",41,0.878,0.54,176471,0.339,0.812,"A",0.0776,-12.46,"Major",0.0431,"68.184","4-Apr",0.0398,"Jazz"
"13449",33309,"Ella Fitzgerald","My Funny Valentine",51,0.939,0.21,235200,0.186,7.18e-06,"G",0.179,-14.136,"Minor",0.034,"76.32","4-Apr",0.158,"Jazz"
"13453",43074,"Illa J","Sam Cook",45,0.453,0.711,140690,0.606,0,"C",0.109,-10.12,"Major",0.306,"86.902","4-Apr",0.434,"Jazz"
"13455",20886,"Joe Corfield","Grey Kimono",56,0.929,0.629,133080,0.354,0.924,"G#",0.229,-12.521,"Major",0.054,"90.45","4-Apr",0.484,"Jazz"
"13459",40805,"Snarky Puppy","Sintra - Live",30,0.747,0.216,212160,0.389,0.904,"F",0.513,-11.301,"Major",0.038,"163.16299999999998","3-Apr",0.155,"Jazz"
"13484",33437,"Sarah Vaughan","Mean to Me",51,0.823,0.623,172533,0.0986,0,"C#",0.23,-10.503,"Major",0.0413,"123.772","4-Apr",0.524,"Jazz"
"13490",61697,"John Coltrane","Aisha",42,0.823,0.393,465200,0.183,0.117,"E",0.106,-15.203,"Minor",0.035,"168.035","3-Apr",0.139,"Jazz"
"13497",27145,"Harry Connick, Jr.","A Wink and a Smile",56,0.875,0.734,-1,0.203,0.000124,"G",0.0902,-13.658,"Major",0.0457,"112.166","4-Apr",0.519,"Jazz"
"13500",57616,"Funkadelic","I Miss My Baby - 1972 Version",36,0.143,0.537,305120,0.621,1.61e-06,"E",0.0962,-8.606,"Major",0.0408,"147.477","4-Apr",0.777,"Jazz"
"13502",81108,"empty_field","Brazilian Tapestry",41,0.635,0.384,303800,0.418,0.000754,"A#",0.0773,-14.634,"Major",0.0481,"98.726","3-Apr",0.616,"Jazz"
"13511",88791,"Nicola Conte","A Time for Spring",49,0.694,0.614,237573,0.615,0.0289,"C",0.093,-7.678,"Minor",0.0262,"87.969","4-Apr",0.51,"Jazz"
"13517",52609,"Django Reinhardt","I Can't Give You Anything but Love",34,0.989,0.709,172994,0.424,0.815,"A",0.138,-11.316,"Major",0.0743,"92.323","4-Apr",0.851,"Jazz"
"13524",91373,"Louis Armstrong","La vie en rose",34,0.896,0.455,210907,0.106,0.00722,"C",0.0966,-11.58,"Major",0.0537,"67.64699999999999","4-Apr",0.212,"Jazz"
"13529",55231,"Thievery Corporation","History (feat. Mr. Lif and Sitali)",51,0.335,0.693,222305,0.721,5.49e-05,"C",0.107,-8.019,"Major",0.129,"77.064","4-Apr",0.639,"Jazz"
"13531",56187,"Makaya McCraven","Holy Lands",36,0.638,0.396,314800,0.38,0.836,"E",0.111,-12.908,"Minor",0.0429,"150.013","4-Apr",0.618,"Jazz"
"13541",31544,"Nouvelle Vague","In A Manner Of Speaking",58,0.755,0.805,-1,0.337,0.00779,"F#",0.11,-12.664,"Major",0.0362,"119.98200000000001","4-Apr",0.643,"Jazz"
"13548",82710,"Charlotte Dos Santos","It's Over, Bobby",47,0.762,0.585,209813,0.495,0.0004269999999999,"C",0.0799,-10.737,"Minor",0.0367,"102.443","4-Apr",0.54,"Jazz"
"13560",41639,"Ella Fitzgerald","Into Each Life Some Rain Must Fall",52,0.957,0.532,190093,0.121,0,"G",0.124,-14.874,"Minor",0.0509,"132.286","4-Apr",0.453,"Jazz"
"13561",79085,"Hank Jones","Eleanor",47,0.971,0.45,289693,0.0437,0.88,"A#",0.0948,-29.46,"Major",0.0374,"63.938","4-Apr",0.0988,"Jazz"
"13564",88822,"Dean Martin","White Christmas",38,0.939,0.247,149920,0.109,0.0575,"B",0.135,-20.047,"Major",0.0339,"99.735","4-Apr",0.276,"Jazz"
"13577",88414,"Judy Garland","Over The Rainbow",46,0.968,0.338,167467,0.184,0.000194,"G#",0.121,-15.015,"Major",0.0347,"73.14","4-Apr",0.293,"Jazz"
"13578",78957,"empty_field","We Came To Party",26,0.111,0.702,256373,0.553,0.103,"F",0.0543,-8.431,"Minor",0.045,"100.03200000000001","4-Apr",0.891,"Jazz"
"13600",33249,"Bonobo","Towers",43,0.29,0.734,216664,0.553,0.775,"A",0.118,-10.079,"Minor",0.0594,"135.037","4-Apr",0.336,"Jazz"
"13607",47438,"Diana Krall","What Are You Doing New Year's Eve?",37,0.936,0.365,249960,0.122,1.79e-06,"G#",0.108,-14.432,"Major",0.0391,"68.594","4-Apr",0.114,"Jazz"
"13671",72680,"Stan Getz","Aguas de Marco",37,0.892,0.454,282067,0.275,0.00117,"E",0.0968,-14.319,"Minor",0.0459,"149.583","4-Apr",0.414,"Jazz"
"13704",35493,"Mulgrew Miller","It Never Entered My Mind",58,0.926,0.446,-1,0.22,0.912,"D#",0.11,-17.385,"Major",0.0362,"110.368","4-Apr",0.227,"Jazz"
"13708",86030,"Count Basie","A Hard Day's Night",39,0.396,0.598,-1,0.368,0.0161,"G#",0.108,-10.48,"Major",0.0362,"136.506","4-Apr",0.643,"Jazz"
"13712",76858,"Mike Dillon","Between the Bars",32,0.982,0.469,-1,0.0733,0.94,"G",0.125,-17.436,"Minor",0.0462,"137.722","3-Apr",0.0616,"Jazz"
"13730",44200,"Benny Sings","Passionfruit",44,0.451,0.947,193635,0.445,0.819,"C#",0.131,-8.043,"Major",0.0445,"120.962","4-Apr",0.861,"Jazz"
"13754",62285,"George Duke","No Rhyme, No Reason",38,0.381,0.629,346600,0.546,0.0034,"D",0.116,-11.656,"Minor",0.0273,"127.525","4-Apr",0.281,"Jazz"
"13764",84145,"Blue States","Season Song",36,0.0207,0.574,255147,0.88,0.0286,"D",0.201,-7.05,"Minor",0.035,"96.008","4-Apr",0.857,"Jazz"
"13787",83724,"Claude Nougaro","Armstrong",36,0.837,0.543,197573,0.275,0,"G",0.168,-10.138,"Minor",0.0368,"106.992","1-Apr",0.338,"Jazz"
"13796",46250,"empty_field","Bailando - Official Salsa Version",44,0.553,0.704,273160,0.949,0,"E",0.363,-1.163,"Minor",0.0378,"94.96600000000001","4-Apr",0.899,"Jazz"
"13814",88249,"Between The Buried And Me","Obfuscation",33,3.75e-05,0.198,555333,0.988,0.13,"B",0.11,-4.329,"Minor",0.286,"145.898","3-Apr",0.186,"Jazz"
"13823",21543,"Lord Finesse","Hip 2 Da Game",64,0.031,0.769,243107,0.752,2.79e-06,"B",0.0564,-6,"Major",0.324,"?","4-Apr",0.527,"Jazz"
"13825",61295,"Dizzy Gillespie","Could It Be You",0,0.456,0.444,315747,0.431,0.777,"G#",0.0788,-14.951,"Major",0.0405,"161.47799999999998","4-Apr",0.382,"Jazz"
"13841",40888,"Sinne Eeg","Hours Of Ours",48,0.859,0.389,347493,0.255,0.000204,"A#",0.117,-13.763,"Major",0.0424,"168.673","1-Apr",0.141,"Jazz"
"13848",79266,"Dizzy Gillespie","Bloomdido",36,0.254,0.561,204800,0.708,6.42e-06,"D#",0.134,-9.584,"Major",0.0612,"111.02600000000001","4-Apr",0.844,"Jazz"
"13867",22592,"El Michels Affair","4th Chamber",40,6.78e-05,0.462,182384,0.715,0.786,"F#",0.459,-5.639,"Major",0.0451,"?","4-Apr",0.0951,"Jazz"
"13869",36085,"Acoustic Alchemy","Playing For Time",34,0.591,0.65,364040,0.695,0.306,"B",0.0577,-10.217,"Minor",0.0346,"?","4-Apr",0.905,"Jazz"
"13872",32775,"Dean Martin","Sway (Quien Sera)",53,0.728,0.591,165133,0.246,1.01e-06,"G",0.0753,-12.141,"Minor",0.039,"?","4-Apr",0.56,"Jazz"
"13883",90182,"Boney James","The Total Experience",40,0.71,0.582,-1,0.774,0.911,"C",0.113,-5.963,"Major",0.0378,"100.014","4-Apr",0.538,"Jazz"
"13894",61484,"Emapea","Please Chill",53,0.461,0.794,125475,0.446,0.897,"G#",0.111,-9.533,"Minor",0.0475,"?","4-Apr",0.867,"Jazz"
"13898",24508,"Cafe Jazz Deluxe","Outstanding Velvet Spirit",37,0.978,0.63,83076,0.102,0.909,"E",0.108,-22.869,"Major",0.0549,"78.813","3-Apr",0.59,"Jazz"
"13910",60260,"Catherine Russell","Don't Take Your Love from Me",46,0.894,0.379,292288,0.142,0.000202,"G#",0.14,-11.13,"Major",0.0359,"179.27700000000002","3-Apr",0.178,"Jazz"
"13915",26011,"Natalie Cole","Starting Over Again",47,0.852,0.555,255493,0.427,6.91e-06,"F",0.175,-7.681,"Major",0.0288,"115.272","4-Apr",0.178,"Jazz"
"13916",43049,"Solomon Burke","Don't Give Up On Me",54,0.8,0.55,-1,0.368,9.1e-05,"C",0.118,-11.275,"Minor",0.0698,"136.983","3-Apr",0.16,"Jazz"
"13918",72390,"FloFilz","Dulce",64,0.262,0.84,131559,0.425,0.921,"A",0.116,-9.404,"Minor",0.0871,"92.97","4-Apr",0.539,"Jazz"
"13924",31669,"Django Reinhardt","Viper's Dream",37,0.901,0.741,181009,0.368,0.0574,"F",0.128,-13.326,"Major",0.0386,"?","4-Apr",0.725,"Jazz"
"13926",84255,"Dean Martin","Memories Are Made Of This - Remastered",31,0.924,0.634,136747,0.246,0,"E",0.11,-12.147,"Major",0.0578,"66.87100000000001","4-Apr",0.517,"Jazz"
"13944",46325,"Blake Aaron","Groovers and Shakers",30,0.322,0.734,258314,0.81,0.0559999999999999,"G#",0.342,-5.517,"Major",0.0373,"111.99","4-Apr",0.763,"Jazz"
"13946",39338,"Lebrón Brothers","Que Pena",47,0.671,0.698,295393,0.713,0.00652,"E",0.151,-8.637,"Minor",0.0393,"90.698","4-Apr",0.962,"Jazz"
"13966",65079,"CYNE","Steady",51,0.157,0.759,180000,0.644,0,"G#",0.237,-7.739,"Major",0.21,"92.374","4-Apr",0.452,"Jazz"
"13982",23047,"Yussef Dayes","Love Is the Message - Live at Abbey Road Studios",42,0.0935,0.452,-1,0.531,0.826,"C#",0.121,-14.444,"Minor",0.0512,"88.21799999999999","4-Apr",0.301,"Jazz"
"13984",88413,"Buena Vista Social Club","Almendra - Live",44,0.826,0.507,349413,0.63,0.874,"G",0.939,-9.883,"Major",0.0399,"130.899","4-Apr",0.551,"Jazz"
"13985",75570,"Gramatik","Future Crypto",34,0.166,0.637,206118,0.472,0.105,"B",0.143,-4.984,"Minor",0.108,"84.59899999999999","4-Apr",0.22,"Jazz"
"13991",39829,"Maze","Feel That You're Feelin' - Edit/Remastered",35,0.311,0.644,250560,0.691,2.33e-05,"E",0.152,-6.572,"Minor",0.032,"89.35600000000001","4-Apr",0.824,"Jazz"
"13996",26165,"Silje Nergaard","Cocco Bello",48,0.668,0.54,349980,0.48,0.0468,"D",0.599,-10.737,"Minor",0.0355,"86.054","4-Apr",0.243,"Jazz"
"14002",49430,"Rubén Blades","Pedro Navaja",61,0.779,0.582,443480,0.61,6.54e-06,"B",0.267,-6.641,"Minor",0.103,"93.65799999999999","4-Apr",0.826,"Jazz"
"14033",47957,"Donny Hathaway","You've Got a Friend - Live Version",44,0.702,0.412,271667,0.333,0.0081599999999999,"C#",0.702,-15.88,"Major",0.049,"78.875","4-Apr",0.447,"Jazz"
"14034",77512,"Nujabes","Perfect Circle Instrumentals",35,0.564,0.783,240920,0.484,0.828,"C#",0.109,-12.529,"Minor",0.0385,"80.71600000000001","4-Apr",0.963,"Jazz"
"14036",32827,"John Coltrane","Moment's Notice",32,0.838,0.534,549000,0.504,0.194,"D#",0.379,-9.662,"Major",0.0383,"123.17","4-Apr",0.81,"Jazz"
"14037",28916,"Brad Mehldau","Prelude To A Kiss",41,0.929,0.37,600533,0.104,0.908,"C",0.144,-21.112,"Major",0.0364,"78.729","3-Apr",0.134,"Jazz"
"14049",88990,"Billie Holiday","The Very Thought Of You",45,0.966,0.567,164537,0.077,5.21e-05,"D#",0.35,-17.213,"Major",0.0469,"99.49","4-Apr",0.55,"Jazz"
"14058",42278,"letherette","Maybe",36,0.204,0.403,195826,0.608,0,"E",0.145,-7.315,"Minor",0.064,"120.693","5-Apr",0.664,"Jazz"
"14072",49788,"Bill Evans","Lucky To Be Me",56,0.994,0.484,221067,0.021,0.902,"E",0.0914,-22.654,"Major",0.0589,"101.396","3-Apr",0.117,"Jazz"
"14084",86388,"Bob James","Nautilus",35,0.0405,0.499,305667,0.532,0.00896,"A",0.152,-14.182,"Minor",0.0283,"98.382","4-Apr",0.761,"Jazz"
"14087",50941,"Bill Charlap Trio","Spring Can Really Hang You Up The Most",56,0.934,0.386,474787,0.0481,0.852,"D",0.101,-25.336,"Minor",0.04,"148.305","3-Apr",0.0714,"Jazz"
"14090",42864,"Boney James","East Bay",38,0.278,0.56,319640,0.59,0.339,"A",0.0711,-8.669,"Minor",0.0394,"152.387","4-Apr",0.441,"Jazz"
"14097",85768,"Eric Marienthal","Blue Water",42,0.0946,0.692,250747,0.68,0.511,"D",0.106,-7.185,"Minor",0.0305,"115.066","4-Apr",0.652,"Jazz"
"14121",63918,"Souls Of Mischief","93 'Til Infinity",69,0.125,0.59,286440,0.672,1.04e-06,"C#",0.147,-11.792,"Major",0.412,"206.247","4-Apr",0.688,"Jazz"
"14126",20781,"Pink Martini","I Am Woman",33,0.776,0.52,190572,0.471,0,"A#",0.168,-8.41,"Major",0.0308,"87.402","4-Apr",0.567,"Jazz"
"14137",60822,"Benny Goodman","Chicago",55,0.943,0.59,177865,0.285,0.729,"G#",0.106,-11.216,"Major",0.05,"160.571","3-Apr",0.778,"Jazz"
"14145",86342,"Orsten","Fleur Blanche",44,0.0121,0.783,252267,0.402,0.896,"G#",0.168,-9.56,"Major",0.119,"83.00299999999999","4-Apr",0.613,"Jazz"
"14146",31320,"TesseracT","Of Matter - Retrospect",43,0.024,0.311,332520,0.744,0.0333,"B",0.159,-7.842,"Minor",0.0475,"119.98200000000001","4-Apr",0.138,"Jazz"
"14151",67427,"Bill Evans","Come Rain Or Come Shine (Take 5)",42,0.977,0.51,204480,0.127,0.848,"C",0.0939,-18.425,"Major",0.0308,"86.79","4-Apr",0.191,"Jazz"
"14154",61984,"Etta James","Stormy Weather",57,0.715,0.268,-1,0.353,0,"C",0.293,-9.447,"Minor",0.0312,"173.54","3-Apr",0.513,"Jazz"
"14155",57900,"Ray Charles","What Would I Do Without You",40,0.923,0.597,-1,0.163,1.18e-05,"E",0.0866,-11.156,"Major",0.0345,"125.59299999999999","3-Apr",0.479,"Jazz"
"14169",67043,"empty_field","Another Reflection",33,0.334,0.627,224187,0.522,0.878,"C#",0.113,-10.848,"Minor",0.0966,"175.933","4-Apr",0.498,"Jazz"
"14183",89562,"The Andrews Sisters","Boogie Woogie Bugle Boy - Remastered",45,0.844,0.618,164160,0.737,1.54e-05,"D",0.171,-8.147,"Major",0.257,"165.104","4-Apr",0.882,"Jazz"
"14206",20370,"Dean Martin","Little Ole Wine Drinker, Me",47,0.586,0.615,167853,0.488,2.21e-06,"C",0.191,-12.797,"Major",0.0383,"122.815","4-Apr",0.488,"Jazz"
"14221",33029,"KLIM","Evening",2,0.285,0.733,132500,0.429,0.926,"B",0.0993,-7.956,"Major",0.102,"91.023","4-Apr",0.855,"Jazz"
"14234",81007,"Between The Buried And Me","Voice Of Trespass",46,0.000534,0.374,478428,0.926,0.0117,"A",0.341,-4.947,"Major",0.0832,"106.315","4-Apr",0.619,"Jazz"
"14242",49019,"11 Acorn Lane","Perfect (Electro Swing Remix)",40,0.0304,0.793,202498,0.868,0.0096099999999999,"C",0.085,-4.001,"Major",0.173,"124.985","4-Apr",0.85,"Jazz"
"14251",20028,"Animals As Leaders","Cafo",51,1.7e-05,0.399,401120,0.94,0.815,"E",0.348,-6.686,"Major",0.0915,"154.999","3-Apr",0.132,"Jazz"
"14267",48173,"Cindy Bradley","Category A",26,0.207,0.866,259397,0.627,0.821,"C",0.0876,-8.419,"Major",0.0549,"?","4-Apr",0.871,"Jazz"
"14276",79696,"Pete Rock","Play Dis Only At Night",40,0.214,0.832,-1,0.396,0.809,"B",0.177,-10.393,"Major",0.295,"88.98200000000001","4-Apr",0.859,"Jazz"
"14288",34546,"Ronnie Laws","Tidal Wave",29,0.0654,0.359,252027,0.667,1.35e-06,"A#",0.0979,-12.597,"Major",0.0312,"95.822","4-Apr",0.5,"Jazz"
"14289",79499,"Jimmy Durante","Smile - Remastered",5,0.616,0.413,173547,0.487,0,"F",0.374,-9.158,"Major",0.0609,"105.76100000000001","4-Apr",0.461,"Jazz"
"14303",35234,"Herbie Hancock","Actual Proof",34,0.403,0.427,579760,0.818,0.228,"A#",0.138,-10.912,"Minor",0.0491,"128.628","4-Apr",0.749,"Jazz"
"14304",21027,"John Coltrane","Lazy Bird - Alternate Take/Remastered 2003/Rudy Van Gelder Edition",31,0.683,0.528,-1,0.583,0.0012,"C",0.0331,-8.759,"Minor",0.0497,"?","4-Apr",0.665,"Jazz"
"14315",53788,"empty_field","Sous Le Ciel De Paris",46,0.176,0.365,245067,0.119,0.694,"F",0.218,-22.669,"Minor",0.0453,"77.27199999999999","4-Apr",0.0758,"Jazz"
"14317",73349,"Boney James","Hypnotic",35,0.37,0.598,252467,0.78,0.69,"A#",0.128,-7.414,"Major",0.0309,"87.992","4-Apr",0.862,"Jazz"
"14322",29667,"empty_field","Stardust - Remastered",36,0.979,0.577,378785,0.114,0.74,"C#",0.324,-18.804,"Major",0.0596,"67.243","4-Apr",0.313,"Jazz"
"14327",49120,"jizue","shiori",37,0.183,0.457,270690,0.92,0.955,"A",0.206,-5.675,"Minor",0.0441,"73.984","4-Apr",0.595,"Jazz"
"14348",22938,"The Pharcyde","4 Better Or 4 Worse - DJ Nu-Mark Remix",50,0.178,0.825,-1,0.799,0,"A#",0.066,-2.87,"Minor",0.151,"93.583","4-Apr",0.887,"Jazz"
"14349",84439,"leaf beach","Travls",47,0.627,0.776,-1,0.223,0.909,"D#",0.111,-13.21,"Minor",0.125,"90.976","4-Apr",0.78,"Jazz"
"14361",42178,"Dinah Washington","I Don't Hurt Anymore",41,0.761,0.595,195000,0.271,3.84e-05,"C",0.111,-11.391,"Major",0.0372,"78.57","4-Apr",0.514,"Jazz"
"14363",83873,"Godspeed You! Black Emperor","Undoing a Luciferian Towers",41,0.00115,0.132,467049,0.575,0.752,"C#",0.11,-7.316,"Major",0.0455,"72.01","4-Apr",0.036,"Jazz"
"14384",67709,"The Dining Rooms","M. Dupont",40,0.0339,0.644,359706,0.379,0.818,"E",0.349,-11.925,"Minor",0.0293,"92.01","4-Apr",0.172,"Jazz"
"14454",28114,"Dinah Washington","Drinking Again",38,0.774,0.357,208840,0.178,0.00125,"A",0.0915,-13.29,"Minor",0.035,"135.798","4-Apr",0.24,"Jazz"
"14462",74328,"Alice Coltrane","Journey In Satchidananda",40,0.0165,0.184,396067,0.535,0,"B",0.103,-13.521,"Minor",0.0415,"138.71","3-Apr",0.226,"Jazz"
"14474",57528,"Plini","Flâneur",44,0.033,0.319,-1,0.571,0.69,"A#",0.113,-8.039,"Minor",0.0425,"82.59200000000001","4-Apr",0.522,"Jazz"
"14486",37446,"Bill Evans","Nardis",34,0.623,0.411,502440,0.409,0.508,"E",0.664,-21.76,"Minor",0.0671,"100.581","4-Apr",0.599,"Jazz"
"14492",54101,"Yaron Herman Trio","Toxic",38,0.419,0.404,270400,0.329,0.87,"C",0.0856,-15.059,"Major",0.0388,"?","4-Apr",0.339,"Jazz"
"14512",62508,"Dinah Washington","It's Magic",41,0.847,0.365,161173,0.266,9.81e-05,"D#",0.235,-14.282,"Major",0.0395,"97.331","3-Apr",0.442,"Jazz"
"14523",75839,"empty_field","Blue Touch",26,0.603,0.672,295800,0.579,0.346,"F",0.0813,-11.382,"Major",0.0377,"77.992","4-Apr",0.734,"Jazz"
"14538",84824,"Cannonball Adderley","One For Daddy-O - Remastered",52,0.581,0.617,505453,0.434,0,"F",0.131,-7.257,"Minor",0.031,"?","4-Apr",0.405,"Jazz"
"14544",87100,"empty_field","Adan Garcia",38,0.468,0.721,288307,0.545,0.000106,"A",0.224,-10.533,"Major",0.0339,"91.899","4-Apr",0.817,"Jazz"
"14570",83029,"Tommy Guerrero","Headin West - Bonus Track",41,0.755,0.509,178012,0.714,0.947,"D",0.16,-7.913,"Minor",0.0341,"130.69","4-Apr",0.666,"Jazz"
"14587",33371,"Chris Botti","Over the Rainbow",35,0.981,0.363,-1,0.0502,0.965,"D#",0.111,-15.767,"Major",0.0363,"110.185","1-Apr",0.159,"Jazz"
"14598",25072,"Cameo","Why Have I Lost You",37,0.272,0.61,314467,0.359,0,"G",0.112,-12.542,"Major",0.125,"134.359","4-Apr",0.571,"Jazz"
"14602",20625,"Mestís","Gentle Giant",37,0.000749,0.453,213803,0.836,0.863,"E",0.146,-9.132,"Major",0.0733,"142.045","4-Apr",0.334,"Jazz"
"14608",33836,"Count Basie","Midgets",39,0.862,0.653,194917,0.547,0.0282,"F",0.417,-10.352,"Major",0.138,"146.531","4-Apr",0.922,"Jazz"
"14610",60599,"B-Side","Hopeful",36,0.4,0.746,91242,0.302,0.869,"E",0.0395,-10.659,"Minor",0.0906,"74.046","4-Apr",0.612,"Jazz"
"14616",52280,"Kenny G","My Favorite Things",33,0.0988,0.496,196827,0.441,0.154,"F",0.107,-11.122,"Minor",0.039,"84.096","3-Apr",0.386,"Jazz"
"14628",64919,"Tosca","Swimswimswim",57,0.0139999999999999,0.903,252245,0.545,0.00492,"C",0.224,-7.761,"Major",0.038,"120.01700000000001","4-Apr",0.956,"Jazz"
"14651",65404,"Pete Rock & C.L. Smooth","The Creator",55,0.21,0.826,283813,0.491,0.0729,"A",0.0929,-11.264,"Major",0.165,"115.99799999999999","4-Apr",0.617,"Jazz"
"14666",66348,"Leprous","Rewind",43,0.000125,0.252,427320,0.903,0.497,"C",0.133,-6.297,"Minor",0.0972,"193.915","4-Apr",0.182,"Jazz"
"14668",46396,"Sinitus Tempo","The Nature of Love",42,0.536,0.684,271059,0.157,0.882,"C#",0.132,-26.01,"Minor",0.0567,"169.993","4-Apr",0.0664,"Jazz"
"14680",56743,"Gregg Karukas","Isabella",32,0.365,0.58,324213,0.454,0.587,"G",0.137,-12.369,"Minor",0.0404,"80.993","4-Apr",0.401,"Jazz"
